
>>>>>>>>>>>>> Bubble Sort
492600.0 350200.0 361900.0 352200.0 350100.0 353600.0 351200.0 284000.0 288600.0 270900.0  >>> 500 0.346
589600.0 596700.0 659000.0 575000.0 595300.0 596300.0 578800.0 603500.0 597100.0 596600.0  >>> 750 0.599
1023500.0 1026700.0 936100.0 894200.0 898900.0 1090200.0 947200.0 1113400.0 1035800.0 1049800.0  >>> 1000 1.002
1516600.0 1666300.0 1603400.0 1566500.0 1562000.0 1483100.0 1523200.0 1584600.0 1542600.0 1792500.0  >>> 1250 1.584
5700900.0 5981800.0 5061300.0 6843400.0 5316700.0 5178600.0 4715400.0 4701900.0 4697500.0 4759100.0  >>> 2500 5.296
10929000.0 11757800.0 11772700.0 11610400.0 11054700.0 12109900.0 11116300.0 10704300.0 13177100.0 12692300.0  >>> 3750 11.692
24273300.0 21484000.0 22474200.0 20721600.0 22514800.0 20625500.0 20751100.0 20586500.0 21997600.0 20898700.0  >>> 5000 21.633
39189400.0 37794400.0 36792200.0 35454700.0 34580000.0 36802800.0 34030900.0 35097700.0 37709900.0 35391400.0  >>> 6250 36.284
56644900.0 58795600.0 56895300.0 53202400.0 55921200.0 53064200.0 56108600.0 51278000.0 54674500.0 51916200.0  >>> 7500 54.850
81531104.0 77377904.0 75072200.0 74761000.0 76071296.0 76358600.0 78300704.0 79992896.0 76354704.0 74839696.0  >>> 8750 77.066
103841200.0 100635200.0 101286800.0 98214800.0 99741000.0 105250400.0 97721600.0 102812000.0 104086200.0 105654704.0  >>> 10000 101.924

>>>>>>>>>>>>> optimized version of Bubble Sort
153500.0 222200.0 224700.0 157500.0 141200.0 140500.0 202300.0 150000.0 125200.0 150000.0  >>> 100 0.167
1027200.0 193300.0 167900.0 174400.0 181900.0 177200.0 215200.0 185400.0 320900.0 210900.0  >>> 250 0.285
492600.0 350200.0 361900.0 352200.0 350100.0 353600.0 351200.0 284000.0 288600.0 270900.0  >>> 500 0.346
589600.0 596700.0 659000.0 575000.0 595300.0 596300.0 578800.0 603500.0 597100.0 596600.0  >>> 750 0.599
1023500.0 1026700.0 936100.0 894200.0 898900.0 1090200.0 947200.0 1113400.0 1035800.0 1049800.0  >>> 1000 1.002
1516600.0 1666300.0 1603400.0 1566500.0 1562000.0 1483100.0 1523200.0 1584600.0 1542600.0 1792500.0  >>> 1250 1.584
5700900.0 5981800.0 5061300.0 6843400.0 5316700.0 5178600.0 4715400.0 4701900.0 4697500.0 4759100.0  >>> 2500 5.296
10929000.0 11757800.0 11772700.0 11610400.0 11054700.0 12109900.0 11116300.0 10704300.0 13177100.0 12692300.0  >>> 3750 11.692
24273300.0 21484000.0 22474200.0 20721600.0 22514800.0 20625500.0 20751100.0 20586500.0 21997600.0 20898700.0  >>> 5000 21.633
39189400.0 37794400.0 36792200.0 35454700.0 34580000.0 36802800.0 34030900.0 35097700.0 37709900.0 35391400.0  >>> 6250 36.284
56644900.0 58795600.0 56895300.0 53202400.0 55921200.0 53064200.0 56108600.0 51278000.0 54674500.0 51916200.0  >>> 7500 54.850
81531104.0 77377904.0 75072200.0 74761000.0 76071296.0 76358600.0 78300704.0 79992896.0 76354704.0 74839696.0  >>> 8750 77.066
103841200.0 100635200.0 101286800.0 98214800.0 99741000.0 105250400.0 97721600.0 102812000.0 104086200.0 105654704.0  >>> 10000 101.924
